,growth_percent,avg_land_premium,volatility_score,drawdown_pct
growth_percent,1.0,-0.05089255169467007,0.21993322099501889,-0.08773096642397725
avg_land_premium,-0.05089255169467007,1.0,0.1157129391305175,-0.1156724249610962
volatility_score,0.21993322099501889,0.1157129391305175,1.0,-0.28886824677877093
drawdown_pct,-0.08773096642397725,-0.1156724249610962,-0.28886824677877093,1.0
