ref_date,year,month,geo,house_index,land_index,land_premium,label
1983-02,1983,2,"Saskatoon, Saskatchewan",37.1,28.1,0.7574123989218329,House-Driven
1983-02,1983,2,"St. Catharines-Niagara, Ontario",30.7,34.2,1.1140065146579805,Moderate
1983-02,1983,2,"St. John's, Newfoundland and Labrador",37.3,31.9,0.8552278820375335,Moderate
1983-02,1983,2,"Toronto, Ontario",26.3,38.6,1.4676806083650191,High Speculation
1983-02,1983,2,"Vancouver, British Columbia",75.8,53.7,0.7084432717678101,House-Driven
1983-02,1983,2,"Victoria, British Columbia",185.5,36.7,0.1978436657681941,House-Driven
1983-02,1983,2,"Windsor, Ontario",57.3,43.7,0.7626527050610821,House-Driven
1983-02,1983,2,"Winnipeg, Manitoba",33.6,21.2,0.6309523809523809,House-Driven
1983-03,1983,3,"Calgary, Alberta",27.0,19.6,0.725925925925926,House-Driven
1983-03,1983,3,Canada,37.2,37.0,0.9946236559139784,Moderate
1983-03,1983,3,"Edmonton, Alberta",35.7,29.0,0.8123249299719887,Moderate
1983-03,1983,3,"Greater Sudbury, Ontario",59.5,53.4,0.8974789915966387,Moderate
1983-03,1983,3,"Hamilton, Ontario",29.7,51.0,1.7171717171717171,High Speculation
1983-03,1983,3,"Kitchener-Cambridge-Waterloo, Ontario",34.2,45.7,1.3362573099415205,High Speculation
1983-03,1983,3,"London, Ontario",29.6,51.5,1.7398648648648647,High Speculation
1983-03,1983,3,"Montréal, Quebec",33.6,24.8,0.7380952380952381,House-Driven
1983-03,1983,3,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",38.2,45.0,1.1780104712041883,Moderate
1983-03,1983,3,"Québec, Quebec",39.8,22.4,0.5628140703517588,House-Driven
1983-03,1983,3,"Regina, Saskatchewan",23.6,20.4,0.8644067796610169,Moderate
1983-03,1983,3,"Saint John, Fredericton, and Moncton, New Brunswick",60.8,40.0,0.6578947368421053,House-Driven
1983-03,1983,3,"Saskatoon, Saskatchewan",37.1,28.5,0.7681940700808625,House-Driven
1983-03,1983,3,"St. Catharines-Niagara, Ontario",30.5,34.2,1.1213114754098361,Moderate
1983-03,1983,3,"St. John's, Newfoundland and Labrador",37.3,31.9,0.8552278820375335,Moderate
1983-03,1983,3,"Toronto, Ontario",26.2,38.6,1.4732824427480917,High Speculation
1983-03,1983,3,"Vancouver, British Columbia",75.5,55.2,0.7311258278145696,House-Driven
1983-03,1983,3,"Victoria, British Columbia",183.2,36.7,0.2003275109170306,House-Driven
1983-03,1983,3,"Windsor, Ontario",57.3,43.7,0.7626527050610821,House-Driven
1983-03,1983,3,"Winnipeg, Manitoba",33.6,21.2,0.6309523809523809,House-Driven
1983-04,1983,4,"Calgary, Alberta",26.1,19.6,0.7509578544061303,House-Driven
1983-04,1983,4,Canada,37.0,37.2,1.0054054054054056,Moderate
